Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Screen_Time_Hours_Per_Day,GPA,Extracurricular_Hours_Per_Day,Anxiety_Norm,Social_Support_Deficit,Career_Concern_Norm,Mood_Norm,Stress_Level
1,0.84,8.73,1.22,0.18,4.52,8.68,0.11,0.485,0.522,0.048,0.116,Moderate
2,4.92,5.77,0.67,0.64,4.4,4.84,2.14,0.498,0.621,0.374,0.855,High
3,3.38,9.88,1.98,0.59,2.39,8.54,0.21,0.0,0.504,0.114,0.0,Low
4,4.46,8.01,2.25,0.01,2.09,10.0,0.24,0.494,0.577,0.547,0.088,Moderate
5,7.78,7.28,1.84,0.4,2.39,7.93,0.33,0.62,0.409,0.162,0.44,Moderate
6,3.02,8.7,0.61,0.39,3.37,9.04,1.35,1.0,0.376,0.692,0.527,Moderate
7,4.42,7.55,2.82,0.06,5.11,10.0,1.83,0.01,0.292,0.3,0.0,Low
8,3.34,7.64,0.8,0.9,3.48,8.03,0.17,0.257,0.415,0.146,0.216,Moderate
9,11.54,6.62,0.87,1.32,3.45,9.5,0.02,1.0,0.734,0.956,1.0,High
10,4.62,8.82,0.42,0.28,1.93,10.0,0.08,0.459,0.746,0.593,0.728,Moderate
11,4.47,8.32,5.31,0.01,3.17,7.47,0.05,0.288,0.329,0.418,0.285,Moderate
12,2.64,10.02,0.63,0.99,5.16,8.28,0.26,0.222,0.554,0.471,0.297,Moderate
13,5.63,7.88,0.39,2.02,3.53,10.0,1.43,0.0,0.592,0.228,0.0,Low
14,5.82,9.01,1.84,0.2,3.88,8.85,1.55,0.0,0.318,0.471,0.0,Low
15,3.35,10.23,4.89,3.24,1.35,9.88,0.92,0.572,0.0,0.337,0.0,Moderate
16,11.53,6.97,0.0,0.28,3.24,9.36,2.49,0.849,0.706,0.493,1.0,High
17,5.38,8.45,1.24,0.51,4.31,8.09,0.07,0.211,0.569,0.149,0.181,Moderate
18,8.97,5.78,3.37,0.2,3.35,3.97,1.02,0.942,0.542,1.0,1.0,High
19,5.09,8.59,0.2,0.01,6.27,10.0,0.27,0.452,0.614,0.23,0.252,Moderate
20,4.5,7.88,4.02,0.48,4.53,7.72,0.12,0.485,0.46,0.41,0.298,Moderate
21,4.27,9.15,1.09,2.09,3.01,10.0,3.59,0.0,0.367,0.18,0.006,Low
22,4.36,10.02,1.21,0.92,4.13,10.0,2.3,0.118,0.399,0.246,0.0,Moderate
23,5.65,7.86,0.66,0.15,5.49,7.87,0.27,0.286,0.776,0.047,0.405,Moderate
24,3.18,7.69,0.72,1.47,6.45,9.64,0.03,0.18,0.61,0.305,0.464,Moderate
25,5.9,8.56,1.93,1.17,4.01,10.0,0.21,0.146,0.518,0.077,0.177,Low
26,9.33,6.65,0.0,0.55,2.23,8.91,2.81,0.681,0.796,0.609,0.815,High
27,5.5,9.54,2.57,0.29,5.25,10.0,0.41,0.0,0.59,0.0,0.0,Low
28,8.81,6.9,2.28,0.13,2.63,9.15,1.23,0.661,0.603,0.326,0.815,High
