Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Screen_Time_Hours_Per_Day,GPA,Extracurricular_Hours_Per_Day,Stress_Level
1,6.76,6.63,0.93,1.2,4.77,10.0,0.96,High
2,7.59,7.22,3.96,0.2,4.95,9.67,0.27,Moderate
3,4.85,7.85,0.63,1.42,3.2,8.04,0.4,Moderate
4,3.54,9.51,0.44,0.96,4.29,10.0,2.17,Low
5,8.08,7.94,1.59,0.18,0.67,10.0,0.43,Moderate
6,5.21,6.27,2.61,3.09,4.66,4.25,3.14,High
7,2.16,10.22,2.09,0.1,3.75,8.81,1.83,Moderate
8,3.64,8.04,0.89,0.66,6.81,6.93,0.04,Low
9,10.89,6.35,0.92,0.52,5.27,3.85,0.11,High
10,2.93,7.96,2.25,1.89,3.9,7.86,1.7,Low
11,3.38,9.11,1.41,0.16,2.48,10.0,0.71,Low
12,4.52,10.89,0.32,0.68,1.53,10.0,0.1,Moderate
13,4.92,8.33,4.23,0.06,3.2,9.89,0.03,Moderate
14,3.56,8.22,5.58,0.0,5.97,10.0,2.05,Low
15,4.62,8.08,4.91,0.81,4.44,10.0,0.05,Moderate
16,7.22,5.93,1.47,2.5,4.8,5.21,0.06,High
17,7.44,8.77,0.15,1.0,4.05,10.0,0.04,Moderate
18,9.42,6.94,0.94,0.15,1.58,8.87,1.47,High
19,4.44,7.32,0.69,1.36,3.1,10.0,1.02,Moderate
20,6.79,6.53,2.03,2.6,4.67,8.9,2.76,Moderate
21,3.68,8.65,0.84,0.08,2.65,10.0,2.17,Moderate
22,2.51,9.98,3.39,1.72,1.29,10.0,1.04,Low
23,4.88,7.07,0.71,0.8,2.53,8.64,0.28,Moderate
24,6.11,8.9,0.4,0.3,4.69,8.38,1.66,Low
25,5.04,8.07,1.11,1.1,3.15,8.64,0.09,Low
26,11.66,4.91,0.68,0.07,3.66,5.85,0.14,High
27,2.33,8.64,5.01,0.76,2.61,8.4,0.63,Moderate
28,9.68,8.29,0.0,0.65,3.04,8.05,0.36,High
29,7.06,6.07,4.16,1.27,3.6,5.42,0.68,High
30,2.65,8.27,2.68,2.64,4.9,5.99,0.89,Low
31,4.13,9.43,2.12,1.37,2.68,8.57,0.04,Low
32,3.92,8.77,3.37,0.01,4.47,10.0,0.29,Low
33,9.25,5.9,0.02,0.39,2.74,3.48,3.78,High
34,4.87,9.18,0.93,0.05,3.19,9.55,0.37,High
